COMUNE,STATE_SCHOOLS_SCORE_2015_2016,NUMBER_OF_SCHOOLS,ABSENT_CERTIFICATE_AGIBILITY_HABITABILITY,ABSENT_DOCUMENT_RISK_EVALUATION,ABSENT_EMERGENCY_PLAN,ABSENT_STATIC_PLAN, STATE_SCHOOLS_SCORE_2016_2017,ENVIRONMENTAL_CONSTRAINTS,OLD_BUILDING,ABSENT_ANTISEISMIC_PLAN,HYDROGEOLOGIC_CONSTRAINTS,PARITARY_SCHOOLS_SCORE_2015_2016,PARITARY_SCHOOLS_SCORE_2016_2017
BONDENO,4.25,63.0,8.0,17.0,6.0,88.0,4.0,,,,,5.5,1.0,,1.0,,,
CAVEZZO,3.75,23.0,2.0,9.0,8.0,34.0,2.0,1.0,,,,3.5,,,1.0,,,
CENTO,4.333333333333333,45.0,14.0,12.0,6.0,71.0,13.0,5.0,1.0,1.0,2.0,4.25,,,7.0,,5.0,5.0
CONCORDIA SULLA SECCHIA,4.0,23.0,4.0,1.0,7.5,28.0,2.0,1.0,1.0,1.0,1.0,3.75,,,,,,
CREVALCORE,4.25,28.0,10.0,7.0,6.5,45.0,3.0,,,,,5.0,,,2.0,,,
FINALE EMILIA,4.821428571428571,57.0,3.0,6.0,7.0,66.0,5.0,1.0,,,,4.857142857142857,,,3.0,,,
MIRANDOLA,4.3,65.0,9.0,18.0,7.5,92.0,1.0,1.0,,,,4.75,,,2.0,,,
NOVI DI MODENA,4.0,33.0,2.0,8.0,7.5,43.0,8.0,,,,,3.75,,,,,,
PIEVE DI CENTO,5.25,10.0,2.0,14.0,6.0,26.0,2.0,1.0,,,,5.25,,,1.0,,,
POGGIO RENATICO,4.25,12.0,4.0,3.0,6.0,19.0,1.0,,,,,4.25,,,,,,
REGGIOLO,3.0,17.0,5.0,14.0,7.0,36.0,2.0,,,,,3.5,,1.0,1.0,,,
SAN FELICE SUL PANARO,4.5,25.0,1.0,10.0,7.0,36.0,3.0,1.0,1.0,1.0,,4.5,,,1.0,,,
SAN PROSPERO,4.25,12.0,3.0,4.0,6.0,19.0,2.0,1.0,1.0,1.0,1.0,5.25,,,,,,
VIGARANO MAINARDA,4.25,3.0,3.0,,5.1,6.0,1.0,,,,,4.25,,,1.0,,,
MEDOLLA,,18.0,1.0,1.0,6.0,20.0,2.0,,,,,,,,,,,
MIRABELLO,,6.0,2.0,6.0,6.5,14.0,3.0,,,,,,,,,,,
SAN POSSIDONIO,,11.0,,1.0,6.0,12.0,,,,,,,,,,,,
CAMPOSANTO,,,,,6.5,,,,,,,,,,,,,
SANT'AGOSTINO,,,,,6.0,,,,,,,,,,,,,
