,LAUNCH YEAR,PROCESSES_BONDENO,PROCESSES_CAMPOSANTO,PROCESSES_CAVEZZO,PROCESSES_CENTO,PROCESSES_CONCORDIA_SULLA_SECCHIA,PROCESSES_CREVALCORE,PROCESSES_FINALE_EMILIA,PROCESSES_MEDOLLA,PROCESSES_MIRABELLO,PROCESSES_MIRANDOLA,PROCESSES_NOVI_DI_MODENA,PROCESSES_PIEVE_DI_CENTO,PROCESSES_REGGIOLO,PROCESSES_SAN_FELICE_SUL_PANARO,PROCESSES_SAN_PROSPERO,PROCESSES_SANT'AGOSTINO,POPOLAZIONE_IMPATTATA_BONDENO,POPOLAZIONE_IMPATTATA_CAMPOSANTO,POPOLAZIONE_IMPATTATA_CAVEZZO,POPOLAZIONE_IMPATTATA_CENTO,POPOLAZIONE_IMPATTATA_CONCORDIA_SULLA_SECCHIA,POPOLAZIONE_IMPATTATA_CREVALCORE,POPOLAZIONE_IMPATTATA_FINALE_EMILIA,POPOLAZIONE_IMPATTATA_MEDOLLA,POPOLAZIONE_IMPATTATA_MIRABELLO,POPOLAZIONE_IMPATTATA_MIRANDOLA,POPOLAZIONE_IMPATTATA_NOVI_DI_MODENA,POPOLAZIONE_IMPATTATA_PIEVE_DI_CENTO,POPOLAZIONE_IMPATTATA_REGGIOLO,POPOLAZIONE_IMPATTATA_SAN_FELICE_SUL_PANARO,POPOLAZIONE_IMPATTATA_SAN_PROSPERO,POPOLAZIONE_IMPATTATA_SANT'AGOSTINO,STARTUP_CAVEZZO,STARTUP_CENTO,STARTUP_CREVALCORE,STARTUP_FINALE_EMILIA,STARTUP_MEDOLLA,STARTUP_MIRANDOLA,STARTUP_PIEVE_DI_CENTO,STARTUP_POGGIO_RENATICO,STARTUP_SAN_PROSPERO,PROCESSES_OPEN_COESIONE_BONDENO,PROCESSES_OPEN_COESIONE_CAMPOSANTO,PROCESSES_OPEN_COESIONE_CAVEZZO,PROCESSES_OPEN_COESIONE_CENTO,PROCESSES_OPEN_COESIONE_CONCORDIA_SULLA_SECCHIA,PROCESSES_OPEN_COESIONE_CREVALCORE,PROCESSES_OPEN_COESIONE_FINALE_EMILIA,PROCESSES_OPEN_COESIONE_MEDOLLA,PROCESSES_OPEN_COESIONE_MIRANDOLA,PROCESSES_OPEN_COESIONE_NOVI_DI_MODENA,PROCESSES_OPEN_COESIONE_PIEVE_DI_CENTO,PROCESSES_OPEN_COESIONE_POGGIO_RENATICO,PROCESSES_OPEN_COESIONE_REGGIOLO,PROCESSES_OPEN_COESIONE_SAN_FELICE_SUL_PANARO,PROCESSES_OPEN_COESIONE_SAN_POSSIDONIO,PROCESSES_OPEN_COESIONE_SAN_PROSPERO,PROCESSES_OPEN_COESIONE_VIGARANO_MAINARDA
0,2010.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7076.0,,,,,,,,,,,,,,1.0,,,19.0,1.0,1.0,1.0,,1.0,,1.0,,,6.0,,1.0,
1,2011.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,23690.0,,,,,,,,,,,,,,,,1.0,,1.0,16.0,,,,,2.0,,,2.0,1.0,3.0,,,
2,2012.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,13547.0,,,,,,7076.0,,,,,,,,,,,,,,11.0,5.0,50.0,43.0,79.0,28.0,47.0,25.0,219.0,61.0,12.0,3.0,24.0,60.0,12.0,16.0,1.0
3,2013.0,,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,2.0,,1.0,,3198.0,,102059.5,22050.0,13547.0,15617.0,,3481.0,23690.0,10141.0,,,10801.0,,5900.0,,,,,,,,,,5.0,5.0,6.0,83.0,5.0,7.0,12.0,5.0,25.0,10.0,3.0,5.0,3.0,15.0,1.0,3.0,
4,2014.0,,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,13547.0,15617.0,,35365.5,,,,9145.0,,,,,,,,,,,,,9.0,1.0,6.0,30.0,4.0,4.0,3.0,4.0,39.0,8.0,3.0,3.0,4.0,7.0,,4.0,4.0
5,2015.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,14227.0,,,35599.0,,,,,,,10141.0,,,,5976.0,,,,,,,,1.0,1.0,,1.0,,1.0,13.0,2.0,,1.0,1.0,263.0,1.0,,,1.0,1.0,,1.0,
6,2016.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,269850.0,389261.0,,,,,,,,1.0,2.0,,,,,,,,1.0,,1.0,26.0,,4.0,3.0,4.0,14.0,3.0,2.0,2.0,,1.0,,1.0,
10,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,2.0,,3.0,17.0,,3.0,6.0,1.0,17.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0
7,2018.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,18290.0,,,,,1.0,,,,,1.0,,,3.0,,2.0,23.0,2.0,14.0,5.0,1.0,24.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0
8,2019.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,202845.0,35599.0,,,,,,,10141.0,,9145.0,,,,1.0,,1.0,,1.0,2.0,,,1.0,,2.0,,10.0,,2.0,,,6.0,1.0,,,,,,,
9,2020.0,,1.0,,,,,,,,,,,,,,,,3198.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
